GPC_ID   | MEDIA   | DUDOSOS  | TOTAL    | % ERROR | CATEGORIA
------------------------------------------------------------------------------------------------------------------------
7236     | 0.840   | 1220     | 16886    |    7.2% | Ropa y accesorios  >  Prendas de vestir  >  Uniformes  >  Uniformes de servicio de comida  >  Pantalones de chef
188      | 0.916   | 905      | 25789    |    3.5% | Ropa y accesorios  >  Joyería
504642   | 0.908   | 404      | 15112    |    2.7% | Arte y ocio  >  Hobbies y artes creativas  >  Manualidades  >  Herramientas para manualidades  >  Herramientas de gofrado y recorte  >  Cortadores y estampadores para manualidades
192      | 0.896   | 364      | 4995     |    7.3% | Ropa y accesorios  >  Joyería  >  Colgantes y dijes
899      | 0.922   | 361      | 18092    |    2.0% | Vehículos y recambios  >  Piezas y accesorios para vehículos  >  Piezas para vehículos motorizados
5123     | 0.665   | 304      | 1020     |   29.8% | Ropa y accesorios  >  Joyería  >  Accesorios para reloj  >  Correas de reloj
2890     | 0.913   | 244      | 13873    |    1.8% | Salud y belleza  >  Cuidado de la salud  >  Nutrición y actividad física
194      | 0.936   | 238      | 8844     |    2.7% | Ropa y accesorios  >  Joyería  >  Pendientes
1869     | 0.748   | 231      | 889      |   26.0% | Bricolaje  >  Suministros eléctricos  >  Enchufes de pared
8228     | 0.931   | 226      | 28738    |    0.8% | Vehículos y recambios  >  Piezas y accesorios para vehículos  >  Piezas para vehículos motorizados  >  Remolque de vehículos motorizados
684      | 0.920   | 199      | 14056    |    1.4% | Casa y jardín  >  Cocina y comedor  >  Electrodomésticos de cocina  >  Extractores
2526     | 0.921   | 181      | 23689    |    0.8% | Salud y belleza  >  Cuidado personal  >  Cosméticos  >  Cuidado de la piel  >  Productos de limpieza facial
2984     | 0.920   | 162      | 25675    |    0.6% | Salud y belleza  >  Cuidado de la salud  >  Nutrición y actividad física  >  Barritas energéticas
3890     | 0.843   | 160      | 1312     |   12.2% | Casa y jardín  >  Decoración  >  Relojes
721      | 0.906   | 155      | 8901     |    1.7% | Casa y jardín  >  Jardín  >  Jardinería  >  Macetas y tiestos
608      | 0.894   | 153      | 2952     |    5.2% | Casa y jardín  >  Electrodomésticos  >  Control del clima  >  Ventiladores
2466     | 0.888   | 139      | 1829     |    7.6% | Bricolaje  >  Fontanería  >  Accesorios de fontanería  >  Válvulas de fontanería
7        | 0.891   | 132      | 7233     |    1.8% | Productos para mascotas y animales  >  Productos para mascotas  >  Productos para reptiles y anfibios
1810     | 0.879   | 132      | 1507     |    8.8% | Bricolaje  >  Fontanería  >  Accesorios de fontanería
5587     | 0.919   | 127      | 4953     |    2.6% | Bricolaje  >  Herramientas  >  Herramientas eléctricas y multifunción
200      | 0.941   | 126      | 10709    |    1.2% | Ropa y accesorios  >  Joyería  >  Anillos
3        | 0.896   | 124      | 6579     |    1.9% | Productos para mascotas y animales  >  Productos para mascotas  >  Productos para pájaros
500054   | 0.919   | 123      | 6034     |    2.0% | Bricolaje  >  Accesorios de bricolaje  >  Artículos de ferretería
182      | 0.910   | 120      | 5822     |    2.1% | Ropa y accesorios  >  Prendas de vestir  >  Ropa de bebés y niños pequeños
5868     | 0.789   | 120      | 643      |   18.7% | Arte y ocio  >  Fiestas y celebraciones  >  Trofeos y premios
6343     | 0.907   | 96       | 4427     |    2.2% | Bricolaje  >  Materiales de construcción  >  Artículos para puertas
4074     | 0.869   | 89       | 1218     |    7.3% | Bricolaje  >  Herramientas  >  Sensores y herramientas de medida  >  Medidores de pH
604      | 0.901   | 87       | 2397     |    3.6% | Casa y jardín  >  Electrodomésticos
7130     | 0.919   | 87       | 2820     |    3.1% | Bricolaje  >  Fontanería  >  Piezas y herramientas para componentes de fontanería  >  Artículos de ducha  >  Paredes y mamparas de ducha
1195     | 0.945   | 83       | 4861     |    1.7% | Bricolaje  >  Herramientas  >  Llaves para tuercas
3329     | 0.918   | 80       | 4577     |    1.7% | Casa y jardín  >  Iluminación  >  Bombillas  >  Bombillas con diodos led
313      | 0.919   | 77       | 3417     |    2.3% | Software  >  Software informático
2082     | 0.868   | 75       | 960      |    7.8% | Electrónica  >  Accesorios electrónicos
6965     | 0.892   | 73       | 1712     |    4.3% | Bricolaje  >  Herramientas  >  Juegos de herramientas  >  Juegos de herramientas manuales
4582     | 0.942   | 71       | 23061    |    0.3% | Equipamiento deportivo  >  Actividades al aire libre  >  Ciclismo  >  Piezas para bicicletas  >  Manillares para bicicletas
5870     | 0.915   | 70       | 6363     |    1.1% | Salud y belleza  >  Cuidado de la salud  >  Equipos de fisioterapia
2878     | 0.825   | 70       | 642      |   10.9% | Bricolaje  >  Accesorios de bricolaje
196      | 0.934   | 68       | 3152     |    2.2% | Ropa y accesorios  >  Joyería  >  Collares
201      | 0.952   | 67       | 21773    |    0.3% | Ropa y accesorios  >  Joyería  >  Relojes de pulsera y de bolsillo
276      | 0.914   | 67       | 1520     |    4.4% | Electrónica  >  Accesorios electrónicos  >  Electricidad  >  Pilas y baterías
177      | 0.909   | 66       | 6136     |    1.1% | Ropa y accesorios  >  Complementos  >  Bufandas y chales
2032     | 0.923   | 66       | 3441     |    1.9% | Bricolaje  >  Fontanería  >  Piezas para fontanería  >  Grifos
7263     | 0.938   | 64       | 2822     |    2.3% | Economía e industria  >  Componentes de control de automatización  >  Controladores lógicos programables
922      | 0.927   | 61       | 3573     |    1.7% | Material de oficina
6763     | 0.728   | 61       | 281      |   21.7% | Casa y jardín  >  Decoración  >  Fuentes y estanques  >  Fuentes y cascadas
499932   | 0.686   | 60       | 208      |   28.8% | Bricolaje  >  Suministros eléctricos  >  Interruptores eléctricos  >  Interruptores eléctricos de especialidad
191      | 0.942   | 59       | 6600     |    0.9% | Ropa y accesorios  >  Joyería  >  Pulseras
2962     | 0.882   | 55       | 1393     |    3.9% | Casa y jardín  >  Jardín  >  Jardinería
473      | 0.933   | 51       | 4897     |    1.0% | Salud y belleza  >  Cuidado personal  >  Cosméticos
5697     | 0.929   | 50       | 8844     |    0.6% | Ropa y accesorios  >  Prendas de vestir  >  Ropa deportiva  >  Ropa de ciclismo
719      | 0.896   | 50       | 2015     |    2.5% | Casa y jardín  >  Jardín  >  Artículos de exterior  >  Sombrillas
5847     | 0.924   | 50       | 5023     |    1.0% | Casa y jardín  >  Decoración  >  Fragancias para el hogar  >  Aceites aromáticos
500000   | 0.901   | 48       | 983      |    4.9% | Mobiliario  >  Conjuntos de mobiliario  >  Muebles de baño
35       | 0.906   | 48       | 1537     |    3.1% | Arte y ocio  >  Hobbies y artes creativas  >  Trucos de magia
6463     | 0.903   | 46       | 1011     |    4.5% | Ropa y accesorios  >  Joyería  >  Conjuntos de joyas
1013     | 0.891   | 45       | 1206     |    3.7% | Equipamiento deportivo  >  Actividades al aire libre  >  Camping y senderismo
184      | 0.928   | 44       | 5306     |    0.8% | Ropa y accesorios  >  Disfraces y accesorios
